Name,Description,Locations,Logo URL,Topics,Industry Tags,Stage,Head Count,Active Jobs Count
BrainStation,"BrainStation is a global leader in digital skills training, empowering businesses and brands to succeed in the digital age. Established in 2012, BrainStation has worked with over 250 instructors from the most innovative companies, developing cutting-edge, real-world digital education that has empowered more than 50,000 professionals and some of the largest corporations in the world.","Toronto, ON, Canada, New York, NY, USA",https://cdn.filestackcontent.com/VAeWFzJ6TZeNGYC5WrOQ,Ecosystem organization,"Education, Software",other,4,91
ApplyBoard,"ApplyBoard is the world's largest online platform that empowers students around the world to access the best education by connecting international students, recruitment partners, and academic institutions on its platform. Founded in 2015, the company is headquartered in Kitchener, ON Canada, with over 500 staff members spanning 20 countries. ApplyBoard has built partnerships with over 1,200 primary, secondary, and post-secondary institutions, and works with 4,000+ Recruitment Partners, to drive highly qualified applicants and diversity to campuses across Canada, the United States, and the United Kingdom. To date, the company has assisted more than 120,000 students with their educational journey.","Waterloo, ON, Canada, Kitchener, ON, Canada",https://cdn.filestackcontent.com/GnQ1Sp25Td6QKgwsv1RH,"500+, B2C, C100 alumni, Education, Software, Team true north","Education, Information Technology, Media, Software",series_c_plus,5,88
Keycafe,"Keycafe provides global consumer and enterprise SaaS software and IoT key exchange systems for intelligent property access management. Founded in November 2012 and is headquartered in Vancouver, Canada.","Vancouver, BC, Canada",https://cdn.filestackcontent.com/LQ7PY8KRImOAzam82NR4,"B2B, Hardware (non-robotics), Proptech","Information Technology, Real Estate, Software",other,2,81
Nuvei,"Nuvei is a financial service company that provides its clients with payment technology solutions. Its services support ISOs, ISVs, payment facilitators, developers, and eCommerce platforms. The company was founded in 2003 and is headquartered in Montreal, Quebec.","Montreal, QC, Canada",https://cdn.filepicker.io/api/file/U2jZGbooTwKuQGaQWoxO,"500+, B2B, Finance, SaaS, Software",Finance,ipo,5,81
Replicon,"Replicon, the Time Intelligence™ company, has over 25 years of industry leadership and is pioneering a new approach to time management. Time Intelligence elevates time as a strategic asset within an organization, to improve operational productivity, performance, and profitability. Replicon’s Time Intelligence Platform offers solutions for global time and gross pay compliance, enterprise time management for ERP, business operations software for professional services, and an SDK for continued development - expanding the company’s award-winning portfolio of cloud-based products, including complete solution sets for client billing, project costing, and time and attendance. 
","Redwood City, CA, USA","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/lvrKwWaJRq2k79bsnWzd","500+, AI/ML, B2B, Productivity, SaaS, Software","Information Technology, Software",series_a,4,78
Knix Wear,"Knix is a women underwear brand designed with women's needs in mind. The company's underwear are designed to have leak proof, absorbent and anti-odor feature within them. Knix believes in embracing the blood, sweat, and tears that accompany a life well lived.","Toronto, ON, Canada",https://cdn.filepicker.io/api/file/VC8T6mAGRSKMXNM6BIly,"Consumer & lifestyle, Ecommerce/product, Female founded, Software","Ecommerce & Marketplace, Fashion",series_b,4,77
Sonder,"Sonder is revolutionizing hospitality through innovative, tech-powered service and inspiring, thoughtfully designed accommodations combined into one seamlessly managed experience. Welcome to the future of hospitality. Officially launched in 2014 and headquartered in San Francisco, Sonder is making a world of better stays open to all with a variety of accommodation options — from rooms to suites and apartments — found in more than 30 cities spanning eight countries and three continents. Sonder’s innovative app empowers guests by making self-service features and 24/7 on-the-ground support just a tap away. From simple self check-in to boutique bathroom amenities, we bring the best of a hotel without any of the formality.","San Francisco, CA, USA",https://cdn.filestackcontent.com/MdDp6xTCRMa6LSETuT4H,"500+, B2C, Marketplace, Proptech, Software, Travel",Travel,ipo,5,74
Neo Financial,"Neo Financial is a FinTech company that provides spending, savings, and rewards programs. Through partnerships with leading financial institutions, Neo provides members with a safe and secure way to spend and save. Neo’s credit card is issued by ATB Financial and backed by the Mastercard network, and the Neo Savings account is provided by Concentra Bank, a CDIC member institution, and is eligible for CDIC deposit protection. Neo is headquartered in Calgary, AB, and is backed by top investors across North America. Founded in 2018 by co-founders of SkipTheDishes, it uses technology to simplify finances and create rewarding experiences for all Canadians.","Calgary, AB, Canada, Winnipeg, MB, Canada",https://cdn.filestackcontent.com/E4HhmE0iQOZHOvg49h4Q,"B2C, Consumer & lifestyle, Finance, Marketplace, Software, Team true north",Finance,series_c_plus,4,74
StackAdapt,StackAdapt is the #1 programmatic native advertising platform used by North America’s most exceptional digital marketers.,"Toronto, ON, Canada",https://cdn.filestackcontent.com/pcoK06utSe3PjLmPfYqg,"Advertising/marketing, B2B, C100 alumni, SaaS, Software, Team true north","Sales and Marketing, Software",series_a,5,64
Prenuvo,Prenuvo is an innovative medical technology company specialized in whole body medical diagnostic imaging. We are a global leader in whole body MRI screening with a track record of early detection of cancer and other major health diseases.,Canada,https://cdn.filepicker.io/api/file/shEahmBThCcRPbvAlL57,"100-499, AI/ML, B2C, Medical/life sciences",Health,other,3,62
Tenstorrent,"Tenstorrent is enabling a new era in AI and deep learning with its breakthrough processor architecture and software. The company’s mission is to deliver orders of magnitude better performance and efficiency for AI workloads from the datacenter to edge of Cloud by co-designing hardware, software and AI algorithms with our unique technology. Tenstorrent’s architecture scales from datacenter servers to IoT devices with dramatically improved efficiency, flexibility, programmability compared to legacy accelerators including CPUs, GPUs, FPGAs, and TPU-type processors. It is developed by our world-class team with deep expertise in computer architecture, hardware design and verification, systems engineering, compilers, software development, and machine learning algorithms. Based in Toronto with offices in Austin, Tenstorrent is growing quickly. We are proudly backed by top-tier Venture Capital firms including Real Ventures and Eclipse Venture Capital, as well as prominent industry luminaries.","Ontario, Canada, Toronto, ON, Canada",https://cdn.filestackcontent.com/QZ19r6XTSsenCcmWyfuf,Agnostic (all),"DeepTech, Finance, Hardware, Manufacturing, Software",series_c_plus,4,54
AbCellera Biologics,"AbCellera focuses on therapeutic antibodies, screening, choosing, and analyzing millions of naturally produced antibodies to be used as next-generation drug candidates. It specializes in the fields of biotechnology, medicine, and therapeutics.","Vancouver, BC, Canada",https://cdn.filestackcontent.com/YkNubbXTrOVVB1tsW9BM,"Biotechnology, Medical/life sciences, Research","Biotechnology, DeepTech, Health",ipo,4,49
Christie Digital Systems USA,"Christie Digital Systems USA, Inc. offers visual solutions for business, entertainment, and industrial applications. Its business products include LCD and digital projectors, and video processing systems, as well as AutoStack, a vision-based solution that enables stacking and blending of projector arrays; Twist, a purpose-built hardware and software solution that enables image warping and blending through control of a graphic user interface; and RoadTools software that enables users to set-up systems and manage projectors. Its entertainment solutions include configurators, lamps, 3D solutions, automation controls, image processing modules, and projectors for digital cinema, as well as offers automations and cue detectors, auditorium control systems, film handling systems, lamps for cinema projection, xenon and reference consoles, and cinema film projectors for film cinema. It offers visual environment solutions, including display solutions for visualization, simulation, and control rooms; control room products, such as rear projection modules, cubes and enclosures, and display wall controllers; and accessories and options. In addition, it offers MicroTiles, modular digital display tiles. Further, it provides managed services to support projection hardware and software assets, as well as offers factory refurbished products for use in tradeshows and demonstrations. It serves advertising and digital signage, business presentations, cinema, education, events and venues, houses of worship, post production, visual environments, control rooms, and general service administration markets. The company was founded in 1929 and is headquartered in Cypress, California with manufacturing and assembly facilities in California and Canada. It has sales and service offices in China, Chile, France, Germany, Japan, Singapore, and the United Kingdom; and sales offices in Korea, Hungary, Italy, and Spain. Christie Digital Systems USA, Inc. operates as a subsidiary of Ushio America, Inc.","Cypress, CA, USA",https://cdn.filestackcontent.com/mEANTjBVT3qgT13QbSZ5,"500+, B2B, Hardware (non-robotics), Media & entertainment","DeepTech, Finance, Manufacturing, Software",other,4,48
Geotab,"Geotab is a global leader in telematics, providing open platform fleet management solutions to businesses of all sizes. Geotab’s intuitive, full-featured solutions help businesses better manage their drivers and vehicles by extracting accurate and actionable intelligence from real-time and historical trips data. Many Fortune 500 companies rely on Geotab’s technology to provide measurable management data. One of their core values at Geotab is to innovate and continuously seek ways to improve. They are committed to advancing technology, empowering businesses and making the roads safer for everyone.","Ontario, Canada, Oakville, ON, Canada",https://cdn.filepicker.io/api/file/wUIg8GCtSy8y6U5a0yag,"500+, B2B, Sensors/IoT, Team true north, Transportation","Hardware, Information Technology, Software, Transportation",other,5,47
PointClickCare,"PointClickCare's web-based products and services are uniquely designed to help long-term care providers manage the complete lifecycle of resident care. The company serves over 5,000 facilities throughout North America, from single-home independent facilities to seven of the ten largest operators. PointClickCare's SaaS offering seamlessly integrates clinical, billing and administrative processes to maximize reimbursements, enhance quality of care, improve operating efficiencies and increase staff productivity and satisfaction.","Canada, Ontario, Canada, Mississauga, ON, Canada",https://cdn.filestackcontent.com/wUhEWY01R4meZhIujyo1,"500+, B2B, Healthcare & wellness, SaaS, Team true north","Health, Information Technology, Software",other,5,46
Lone Wolf Technologies,"Lone Wolf Real Estate Technologies is to provide the backbone for real estate brokerages across North America. Their mission is to provide their partners with the most comprehensive management and accounting solutions for their real estate office. Developing and leveraging our client relationships to enhance our programs, they embrace growth in their products and the skill set of our staff. In the ever-changing world of real estate technology, Lone Wolf will be the Leader of the Pack!","Cambridge, ON, Canada",https://cdn.filepicker.io/api/file/jN2jcUcyRzeVzg3JK8ob,"100-499, B2B, Proptech, Software","Finance, Information Technology, Real Estate, Software",other,4,45
Dialogue,"Dialogue was founded with the mission to improve wellbeing by reducing barriers to quality care. As the largest and fastest-growing telemedicine company in Canada, Dialogue provides convenient, virtual access to a multidisciplinary team of healthcare professionals for Canadian companies who care. By empowering employees to be proactive about their physical and mental health, businesses can reap the significant benefits associated with happier and healthier employees.","Montreal, QC, Canada",https://cdn.filestackcontent.com/rHIVB4fRWeXyajvqB0Ly,"100-499, B2B, Female founded, Healthcare & wellness, HR, SaaS, Software","Health, Wellness and Beauty",ipo,4,44
AlayaCare,"AlayaCare is a start-up that delivers an end-to-end home health care software platform and hardware ecosystem. The platform allows home care agencies to deliver mixed telehealth/visiting health solutions enabling empowered patients to live better while driving down the cost of care. The founders are a proven team of entrepreneurs who have founded, scaled, and sold two mobile software business. AlayaCare aims to provide a solution to a market mired in legacy software and suboptimal business processes. In doing so, it delivers better outcomes for the patient, better tools for the providers, and better economics for the payers. It promotes an open culture where every team member has the obligation to dissent, but the obligation to always keep the big picture in mind. Through its association with The Madiro Fund, the company also contributes its solution free of charge to NGOs working in the developing world who are seeking to leverage mobile technology to improve the lives of those less fortunate. Adrian Schauer and Neil Grunberg launched the company in Montréal, Quebec in 2014.","Montreal, QC, Canada",https://cdn.filestackcontent.com/yw0eBerRDOMOdfwWKDEd,"500+, B2C, C100 alumni, Medical/life sciences, SaaS, Software, Team true north","Health, Information Technology, Software",series_c_plus,4,43
Jobber,"Jobber provides technology that helps small businesses across 50 different industries, including lawn care, HVAC, residential cleaning, tree care, and more, better connect with customers, grow their businesses, and compete against giant corporations. Unlike manual processes and single feature apps, Jobber’s platform streamlines and automates daily operations, replacing duplicate entry and repetitive tasks with tailored automation. Since launching, businesses using Jobber have serviced over 10 million people in more than 43 countries, delivering over $6 billion annually, and growing, in services to their customers. The company was recently recognized as the second fastest-growing software company in Canada by Canadian Business’ Growth 500 and named a 2019 Best Workplaces in Technology and for millennials by Great Place to Work.","Edmonton, AB, Canada",https://cdn.filestackcontent.com/XeugVzpcS7yabUBrdcpt,"500+, C100 alumni, Productivity, Proptech, SaaS, Team true north","Information Technology, Software",series_c_plus,4,41
D2L,"Founded in 1999, D2L is leader in providing cloud-based learning solutions for higher education, K-12 and Fortune 1000 companies. The Company provides next generation learning management system and solutions to engage and inspire learners lifelong - helping clients break down barriers to accessing the highest quality learning experiences. D2L's cloud-based learning solution, Brightspace, provides an open and extensible platform to over 700 clients and over 8 million learners in higher education, K-12, healthcare, government and the corporate sector including the Fortune 1000.","Kitchener, ON, Canada",https://cdn.filestackcontent.com/vXcmdEPORRabl5dcn21i,"500+, B2B, Education, Software","Education, Software",ipo,5,37
Navblue,"NAVBLUE is a services company, wholly owned by Airbus, dedicated to Flight Operations & Air Traffic Management Solutions. Through digital & collaborative innovation, our passionate & customer-focused team develops solutions to enhance the safety and efficiency of air transport. Over the last years, Airbus has been supportive of various initiatives such as Going Digital, Performance Based Navigation services, Air Traffic Management modernization programs (SESAR & NextGen), FlySmart on iOS and other digital projects related to new aircraft technologies; the launch of NAVBLUE was therefore a natural step to further develop its Flight Operations and Air Traffic Management portfolio. Fueled by the agility of Airbus ProSky and Navtech (acquired in 2016), and the pioneering spirit of Airbus, NAVBLUE was created in July 2016 with one mission: lead aviation into the digital age.","Waterloo, ON, Canada, Kitchener, ON, Canada",https://cdn.filestackcontent.com/Pvp13QBhQdaQhYV1Ttu6,"100-499, B2B, Software, Transportation","Transportation, Travel",other,4,36
Clio,"Clio is the undisputed leader in cloud-based legal technology offering practice management, payments, and client intake software. Clio enables lawyers to be more client-centered and has earned the most 5 star reviews, the approval of over 90 bar associations and law societies around the world, and a global customer base of 150,000 legal professionals. 

Clio enables law firms to deliver better client experiences through cloud-based practice management, payments, and client intake software. Clio was the first to bring cloud-based legal practice management software to market, and has been leading the industry since 2008 with the first client-centered suite of cloud-based law firm solutions, the Legal Trends Report, and the Clio Cloud Conference, which is now the most widely attended legal tech conference in the industry. 

Clio is more than software. Clio is the only provider truly invested in the success of you and your clients. Clio’s team of client and firm success specialists combine their expertise on the Legal Trends Report, with their knowledge of Clio’s legal technology platform to help lawyers run results-driven law firms using real time insights.  

Founded in Vancouver, Canada, Clio employs over 900 employee globally and has been named one of Canada’s Best Managed Companies, a Deloitte Fast 50 company, and one of Canada’s Most Admired Corporate Cultures.","Vancouver, BC, Canada",https://cdn.filepicker.io/api/file/cf0LvwsESGmjhv8a0nOq,"500+, B2B, Legal, Software, Team true north","Information Technology, Software",series_c_plus,4,36
Fullscript,"Fullscript was the world’s first virtual supplement dispensary and is now a comprehensive platform that integrative healthcare professionals use to dispense the best quality supplements. It also helps practitioners manage and grow their practice with patient engagement and adherence tools. We’re one platform for wholesale, virtual, and everything in between. Fullscript is the ultimate free platform for those who want to do wellness the right way — the personal way — from anywhere. This dispensary has the most comprehensive catalog, integrates with EHRs, automates refill reminders, and offers evidence-based resources for both practitioners and patients. It's an always-accessible solution that helps people get better. Fullscript was launched by [Brad Dyment](https://www.crunchbase.com/person/brad-dyment) [Chris Wise](https://www.crunchbase.com/person/chris-wise), and [Kyle Braatz](https://www.crunchbase.com/person/kyle-braatz) in 2011 and its operations are based in Ottawa, Ontario.","Ottawa, ON, Canada","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/FezDHdeAQMihNwAUd1MR","B2B, Healthcare & wellness, Software","Government and Military, Health",other,4,35
Algolux,"Algolux is an award-winning AI software company delivering the industry’s most robust and scalable perception for all conditions, addressing both existing cameras and new designs through cloud-based tools and embedded software. The company was founded on groundbreaking research at the intersection of deep learning, computer vision, and computational imaging. Our computer vision and image optimization solutions address the mission-critical issue of safety for automotive ADAS, autonomous vehicles, fleets, autonomous mobile robots, and video security.","Montreal, QC, Canada",https://cdn.filestackcontent.com/OawGVuDSKyGNYeWjS3Lt,"AI/ML, B2B, C100 alumni, Software, Transportation","DeepTech, Hardware, Information Technology, Software, Transportation",series_b,3,34
Info-Tech Research Group,"Info-Tech Research Group is the world’s fastest growing information technology research and advisory company, proudly serving over 30,000 IT professionals. We produce unbiased and highly relevant IT research to help CIOs and IT leaders make strategic, timely and well informed decisions. We partner closely with IT teams to provide everything they need, from actionable tools to analyst guidance, ensuring they deliver measurable results for their organizations.","London, ON, Canada",https://cdn.filestackcontent.com/tN6cZCNtT2mGkmFIgvxi,"500+, B2B, Research, Team true north",Information Technology,other,5,34
BonLook,"BonLook is a Canadian e-commerce company that sells prescription and non-prescription eyeglasses and sunglasses. It oversees the entire production process, including design and manufacturing, as well as selling via it's own proprietary platform. The company is also known for its collaborations with female fashion bloggers.","Montreal, QC, Canada",https://cdn.filestackcontent.com/aTmGN02oQOy833PuYjFT,"B2C, Consumer & lifestyle, Ecommerce/product, Healthcare & wellness, Software","Consumer Products, Ecommerce & Marketplace, Health",other,3,34
1Password,"Trusted by more than 100,000 businesses to protect their data, 1Password gives you complete control over passwords and other sensitive business information. As an integral layer of the Identity and Access Management (IAM) stack, 1Password protects all employee accounts – even those you aren’t aware of. Give employees secure access to any app or service and safely share everything you need to work together – including logins, documents, credit cards, and more – while keeping everything else private. 1Password is easy to deploy and integrates with Azure AD, Okta, OneLogin, and Slack, so you can automatically provision employees using the systems you already trust. It’s simple to manage and fits seamlessly into your team’s workflow, so you can secure your business without compromising productivity.

","Toronto, ON, Canada",https://cdn.filepicker.io/api/file/ocZBX7eyQm2h1Yy3YiQR,"100-499, B2B, Cybersecurity, Software","Finance, Information Technology, Security, Software",series_c_plus,5,33
Interac,"Interac branded products and services are currently offered by Interac Association and Acxsys Corporation, which together operate an economical, world-class debit system. With broad-based acceptance, 24/7 reliability, security, and efficiency, Interac products and services are an everyday part of life for Canadians. Interac Association is a recognized world leader in debit card services. It is responsible for the development and operations of the Interac network, a national payment network that allows Canadians to access their money at ABMs through the Interac Cash service and at point-of-sale terminals across Canada through the Interac Debit service. Interac Debit also includes Interac Flash, a secure contactless enhancement that allows Canadians to pay for items instantly by holding their cards at point-of-sale readers that support Interac Flash.","Toronto, ON, Canada",https://cdn.filestackcontent.com/mRbANWlORpGo37AXYyGe,,Finance,other,4,31
Vention,"Vention is a next-generation digital manufacturing platform for machine design, enabling engineers and other manufacturing professionals to design, order and assemble custom factory equipment in just a few days. Vention’s AI-enabled, cloud-based MachineBuilder 3D integrates a comprehensive library of modular parts for applications such as automated equipment, robot cells, tooling, and conveyors.","Montreal, QC, Canada",https://cdn.filestackcontent.com/anq8wK2zQpuosqstUBfL,"B2B, C100 alumni, Industrial, Manufacturing, Robotics, Team true north","DeepTech, Hardware, Manufacturing, Software",series_c_plus,4,30
UC Workspace,"UC Workspace is a global provider of unified collaboration solutions, helping companies move beyond traditional meeting rooms to inspiring workspaces that improve collaboration, sharing, communication, and technology integrations. UC Workplace works with multiple meeting providers and is agnostic to applications and hardware. Platinum Partners have optimized customized versions of our flagship Quicklaunch application.","Calgary, AB, Canada",https://cdn.filestackcontent.com/3tiJy7YWTRKxKwVzuULl,"10-49, B2B, Productivity, SaaS, Software","Information Technology, Software",other,2,30
6ix,"6ix is a social media company built around the unique capital markets needs of investors and issuers. We believe that reinventing how investors discover, analyze and trade securities represents our greatest opportunity to improve how capital markets function. Our Vision is to create a world where: - Financial research is peer reviewed - Fees are low and rare - Trades are accessible to all","Toronto, ON, Canada",https://cdn.filepicker.io/api/file/YFUVhQQERzKvjvPfm6gk,"Finance, Marketplace, Software",Finance,other,2,29
EventMobi,"EventMobi is the leading event technology platform that allows event planners to create engaging apps for their event or conference in only a few minutes. Our mobile event guides, real-time audience engagement features and the first ever social / gaming layer customized for conferences and tradeshows have been used by 7000+ events, Millions of users, and are served for events in 18 languages in over 40 different countries.","Toronto, ON, Canada",https://cdn.filestackcontent.com/1AllYpTLTNC6Divb5aJS,"Advertising/marketing, B2B, SaaS, Software","Gaming, Information Technology, Software",other,3,29
